TIME, X, Y, Z
685353.69719, 0.057, 0.210, 10.673
685353.71699, 0.192, -0.010, 10.692
685353.73720, -0.014, -0.192, 10.438
685353.75712, -0.053, -0.278, 10.189
685353.77718, -0.163, -0.135, 9.514
685353.79707, -0.330, -0.010, 8.666
685353.81707, -0.565, -0.029, 8.063
685353.83709, -0.393, 0.172, 7.733
685353.85688, -0.421, 0.483, 8.470
685353.87826, -0.474, 0.665, 7.479
685353.89686, -0.306, 0.761, 7.086
685353.91666, -0.632, 0.861, 6.895
685353.93711, -0.589, 0.938, 7.254
685353.95666, -0.426, 1.086, 7.541
685353.97792, -0.235, 1.326, 7.608
685353.99688, -0.512, 1.077, 7.058
685354.01633, -0.474, 1.062, 7.302
685354.03657, -0.201, 1.029, 7.488
685354.05647, 0.254, 1.086, 8.178
685354.07658, -0.024, 0.952, 7.584
685354.09617, -0.316, 0.813, 7.699
685354.11649, -0.110, 0.924, 8.542
685354.13614, -0.192, 0.732, 9.002
685354.15583, 0.000, 0.756, 9.418
685354.17667, 0.383, 1.058, 9.758
685354.19572, 0.163, 1.398, 9.514
685354.21568, 0.206, 1.580, 9.093
685354.23586, 0.163, 1.479, 9.476
685354.25585, 0.230, 1.738, 9.255
685354.27552, 0.057, 1.963, 8.882
685354.29657, -0.177, 1.800, 9.069
685354.31549, 0.235, 1.876, 10.366
685354.33545, 0.402, 1.900, 10.611
685354.35555, 0.326, 1.637, 10.002
685354.37530, 0.225, 1.350, 9.773
685354.39528, -0.086, 0.718, 11.262
685354.41544, 0.038, 0.459, 12.722
685354.43534, 0.455, 0.291, 12.564
685354.45542, 0.469, 0.320, 10.730
685354.47679, 0.273, 0.933, 8.906
685354.49525, 0.053, 0.995, 7.972
685354.51526, 0.005, 0.794, 8.149
685354.53547, 0.508, 0.876, 8.882
685354.55499, 0.383, 0.900, 8.915
685354.57495, 0.450, 0.703, 8.393
685354.59611, 0.522, 0.789, 8.264
685354.61519, 0.302, 0.435, 8.662
685354.63479, 0.340, 0.162, 9.624
685354.65512, 0.201, 0.220, 10.184
685354.67479, 0.302, 0.603, 9.069
685354.69501, -0.048, 0.938, 8.068
685354.71616, -0.091, 1.024, 7.694
685354.73570, -0.053, 0.948, 7.967
685354.75488, 0.201, 1.192, 8.441
685354.77484, 0.622, 1.292, 9.241
685354.79445, 0.230, 0.703, 9.016
685354.81470, 0.211, 0.847, 9.246
685354.83484, 0.330, 1.029, 9.442
685354.85470, 0.589, 1.254, 9.418
685354.87438, 0.283, 1.106, 8.882
685354.89485, -0.139, 1.197, 8.556
685354.91455, 0.297, 1.173, 9.203
685354.93447, 0.522, 1.058, 9.926
685354.95470, 0.680, 0.694, 9.524
685354.97419, 0.340, 0.837, 9.859
685354.99424, -0.057, 0.842, 10.208
685355.01445, 0.034, 0.957, 9.931
